chave,ITEM,NUMPEDVEN,QTCOMP,STATUS,AUTORIZADO
47996059630,7383564,1129262508,1,AUTORIZADO,Autorizado
47995959630,7383564,1129229407,1,AUTORIZADO,Autorizado
47995759630,7936722,1129390329,1,AUTORIZADO,Autorizado
67862520505,7894824,1128921653,1,AUTORIZADO,Autorizado
67862520505,3569313,1128921653,1,AUTORIZADO,Autorizado
47996159630,7383564,1129335282,1,AUTORIZADO,Autorizado
47996559630,7383564,1129208762,1,AUTORIZADO,Autorizado
5295446950,7850882,1129086112,1,AUTORIZADO,Autorizado
47996259630,7900471,1129368605,1,AUTORIZADO,Autorizado
47996659630,7383564,1129350649,1,AUTORIZADO,Autorizado
47996359630,7383564,1129279554,1,AUTORIZADO,Autorizado
47996459630,7973666,1129382411,1,AUTORIZADO,Autorizado
47996759630,6728540,1129376948,1,AUTORIZADO,Autorizado
47996859630,7383564,1129193171,1,AUTORIZADO,Autorizado
67862620505,7755705,1128964956,1,AUTORIZADO,Autorizado
47997059630,7936722,1129379678,1,AUTORIZADO,Autorizado
67862720505,10214,1128981043,1,AUTORIZADO,Autorizado
47997159630,7868993,1129371092,3,AUTORIZADO,Autorizado
47997559630,7936722,1129384233,1,AUTORIZADO,Autorizado
47997459630,7956829,1129228975,1,AUTORIZADO,Autorizado
47997759630,7771095,1129383751,1,AUTORIZADO,Autorizado
47998159630,7669453,1129386930,1,AUTORIZADO,Autorizado
47998059630,7936722,1129368490,1,AUTORIZADO,Autorizado
67862820505,7873140,1129043089,1,AUTORIZADO,Autorizado
47998259630,7360398,1129271637,2,AUTORIZADO,Autorizado
47998459630,7936722,1129372943,1,AUTORIZADO,Autorizado
47998359630,7906671,1129363000,1,AUTORIZADO,Autorizado
47998659630,7936722,1129371067,1,AUTORIZADO,Autorizado
47998759630,7956829,1129221908,1,AUTORIZADO,Autorizado
47998859630,7936722,1129371598,1,AUTORIZADO,Autorizado
47998959630,7936722,1129367769,1,AUTORIZADO,Autorizado
47998559630,7600593,1129384359,1,AUTORIZADO,Autorizado
67862920505,7755743,1129044194,1,AUTORIZADO,Autorizado
47999159630,7936722,1129389442,1,AUTORIZADO,Autorizado
35715821950,7005220,1129286882,1,AUTORIZADO,Autorizado
47999059630,7936722,1129374252,1,AUTORIZADO,Autorizado
67863020505,7863516,1129047197,1,AUTORIZADO,Autorizado
47999359630,7936722,1129385548,1,AUTORIZADO,Autorizado
47999259630,7936722,1129375514,1,AUTORIZADO,Autorizado
